Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
Lust in the Dust,https://www.imdb.com/title/tt0089523/?ref_=sr_t_153,1984,1h 24m,R,5.9,3.9K,3000000.0,727639.0,727639.0,,['Paul Bartel'],['Philip John Taylor'],"['Tab Hunter', 'Divine', 'Lainie Kazan']","['Parody', 'Comedy', 'Western']",['United States'],"['Bonanza Creek Ranch - 15 Bonanza Creek Lane, Santa Fe, New Mexico, USA']",['Fox Run Productions Inc.'],['English'],0,0,0,1984.0
Code Name: Wild Geese,https://www.imdb.com/title/tt0087068/?ref_=sr_t_154,1984,1h 41m,R,5.1,1.1K,,600000.0,600000.0,,['Antonio Margheriti'],"['Michael Lester', 'Arne Elsholtz', 'Tito Carpi']","['Lewis Collins', 'Lee Van Cleef', 'Ernest Borgnine']",['Action'],"['Italy', 'West Germany']","['Hong Kong, China']","['Ascot Film', 'Gico Cinematografica S.r.l.']",['Italian'],0,0,0,1984.0
Scandalous,https://www.imdb.com/title/tt0088046/?ref_=sr_t_155,1984,1h 32m,PG,4.4,275,,526805.0,526805.0,274933.0,['Rob Cohen'],"['Larry Cohen', 'Rob Cohen', 'John Byrum']","['Robert Hays', 'Ron Travis', 'M. Emmet Walsh']","['Dark Comedy', 'Comedy', 'Mystery']","['United Kingdom', 'United States']","['Polesden Lacey, Great Bookham, Dorking, Surrey, England, UK']","['Angeles Cinema Investors', 'Lantana', 'Raleigh Films']",['English'],0,0,0,1984.0
Nausicaä of the Valley of the Wind,https://www.imdb.com/title/tt0087544/?ref_=sr_t_156,1984,1h 57m,,8.0,188K,1000000.0,9010711.0,495770.0,,['Hayao Miyazaki'],"['Hayao Miyazaki', 'Kazunori Itô']","['Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Kyôda']","['Adult Animation', 'Anime', 'Dystopian Sci-Fi', 'Sci-Fi Epic', 'Steampunk', 'Adventure', 'Animation', 'Sci-Fi']",['Japan'],[],"['Nibariki', 'Tokuma Shoten', 'Hakuhodo']",['Japanese'],0,0,0,1984.0
Windy City,https://www.imdb.com/title/tt0088405/?ref_=sr_t_157,1984,1h 43m,R,5.9,328,,343890.0,343890.0,104754.0,['Armyan Bernstein'],['Armyan Bernstein'],"['John Shea', 'Kate Capshaw', 'Josh Mostel']","['Drama', 'Romance']",['United States'],"['Chicago, Illinois, USA']",['CBS Theatrical Films'],['English'],0,0,0,1984.0
The Stone Boy,https://www.imdb.com/title/tt0088176/?ref_=sr_t_158,1984,1h 31m,PG,6.5,859,2500000.0,261033.0,261033.0,,['Christopher Cain'],['Gina Berriault'],"['Robert Duvall', 'Jason Presson', 'Glenn Close']",['Drama'],['United States'],"['Montana, USA']","['International Productions', 'Angeles Entertainment Group', 'Inverness Productions']",['English'],0,0,0,1984.0
Radioactive Dreams,https://www.imdb.com/title/tt0091818/?ref_=sr_t_159,1984,1h 38m,R,5.5,2K,,220038.0,220038.0,141055.0,['Albert Pyun'],['Albert Pyun'],"['John Stockwell', 'Michael Dudikoff', 'Michele Little']","['Action', 'Adventure', 'Comedy', 'Music', 'Sci-Fi']","['Mexico', 'United States']","['Hawaii, USA']","['ITM Productions', 'Vanir Group of Companies']",['English'],0,0,0,1984.0
Champions,https://www.imdb.com/title/tt0085320/?ref_=sr_t_160,1984,1h 46m,PG,6.5,784,,200498.0,200498.0,54262.0,['John Irvin'],"['Bob Champion', 'Jonathan Powell', 'Evan Jones']","['John Hurt', 'Gregory Jones', 'Mick Dillon']","['Biography', 'Drama', 'Romance', 'Sport']",['United Kingdom'],"['England, UK']","['Archerwest', 'Ladbroke', 'United British Artists (UBA)']",['English'],0,0,0,1984.0
The Bay Boy,https://www.imdb.com/title/tt0086942/?ref_=sr_t_161,1984,1h 47m,R,6.3,766,4248000.0,162364.0,162364.0,,['Daniel Petrie'],['Daniel Petrie'],"['Liv Ullmann', 'Kiefer Sutherland', 'Peter Donat']",['Drama'],"['Canada', 'France']","['Cape Breton, Nova Scotia, Canada']","['International Cinema Corporation (ICC)', 'Bay Boy Productions', 'Films A2']",['English'],0,5,0,1984.0
Razorback,https://www.imdb.com/title/tt0087981/?ref_=sr_t_162,1984,1h 35m,R,6.0,8.2K,5500000.0,150463.0,150140.0,89331.0,['Russell Mulcahy'],"['Everett De Roche', 'Peter Brennan']","['Gregory Harrison', 'Arkie Whiteley', 'Bill Kerr']","['Monster Horror', 'Horror', 'Thriller']",['Australia'],"['Broken Hill, New South Wales, Australia']","['UAA Films', 'McElroy & McElroy']",['English'],0,5,0,1984.0
Heartbreakers,https://www.imdb.com/title/tt0087397/?ref_=sr_t_163,1984,1h 38m,R,6.1,676,,148750.0,148750.0,,['Bobby Roth'],['Bobby Roth'],"['Peter Coyote', 'Nick Mancuso', 'Carole Laure']",['Drama'],['United States'],"['E 3rd St & Traction Ave, Arts District, Downtown, Los Angeles, California, USA']",['Jethro Films Production'],['English'],0,2,0,1984.0
Crackers,https://www.imdb.com/title/tt0087096/?ref_=sr_t_164,1984,1h 31m,PG,5.2,1.6K,12000000.0,129268.0,129268.0,58689.0,['Louis Malle'],['Jeffrey Alan Fiskin'],"['Donald Sutherland', 'Jack Warden', 'Sean Penn']","['Caper', 'Adventure', 'Comedy', 'Crime', 'Thriller']",['United States'],"['San Francisco, California, USA']",['Universal Pictures'],['English'],0,0,0,1984.0
Repo Man,https://www.imdb.com/title/tt0087995/?ref_=sr_t_165,1984,1h 32m,R,6.8,43K,1500000.0,130715.0,129000.0,95300.0,['Alex Cox'],['Alex Cox'],"['Harry Dean Stanton', 'Emilio Estevez', 'Tracey Walter']","['Dark Comedy', 'Comedy', 'Crime', 'Sci-Fi', 'Thriller']",['United States'],"['Orpheum Theater - 842 South Broadway, Downtown, Los Angeles, California, USA']",['Edge City Productions'],"['English', 'Spanish']",0,4,0,1984.0
Petit Con,https://www.imdb.com/title/tt0086070/?ref_=sr_t_166,1984,1h 30m,R,6.0,136,,127426.0,127426.0,,['Gérard Lauzier'],['Gérard Lauzier'],"['Guy Marchand', 'Caroline Cellier', 'Bernard Brieux']",['Comedy'],['France'],"['Paris Studios Cinéma, Billancourt, Hauts-de-Seine, France']","['Gaumont International', 'Production Marcel Dassault']",['French'],0,0,0,1984.0
Jocks,https://www.imdb.com/title/tt0223571/?ref_=sr_t_167,1984,1h 39m,R,5.4,61,,120808.0,120808.0,,['Riccardo Sesani'],"['Bruno Cortini', 'Riccardo Sesani']","['Russell Russell', 'Tom Hooker', 'Patricia Moore']","['Comedy', 'Musical']",['Italy'],"['Rimini, Emilia-Romagna, Italy']",['Film Holiday Productions'],"['English', 'Italian']",0,0,0,1984.0
Almost You,https://www.imdb.com/title/tt0086876/?ref_=sr_t_168,1984,1h 36m,R,5.0,271,1000000.0,95000.0,95000.0,,"['Adam Brooks', 'Craig Laurence Rice']","['Adam Brooks', 'Mark Horowitz']","['Brooke Adams', 'Griffin Dunne', 'Karen Young']","['Comedy', 'Drama']",['United States'],"['New York City, New York, USA']","['Almost You', 'Wescom Productions']",['English'],0,0,0,1984.0
Living Los Sures,https://www.imdb.com/title/tt5468886/?ref_=sr_t_169,1984,57m,Not Rated,7.5,151,,83992.0,83992.0,26088.0,['Diego Echeverria'],[],"['Marta Avilés', 'Evelyn Borges', 'Tito Lopez']",['Documentary'],['United States'],"['Williamsburg, Brooklyn, New York City, New York, USA']",[],['English'],0,0,0,1984.0
Tibet: A Buddhist Trilogy,https://www.imdb.com/title/tt0813391/?ref_=sr_t_170,1984,2h 14m,Not Rated,7.6,56,120000.0,47243.0,47243.0,6596.0,['Graham Coleman'],['Graham Coleman'],[],['Documentary'],['United Kingdom'],['India'],['Thread Cross Films'],['English'],0,0,0,1984.0
The Runner,https://www.imdb.com/title/tt0088992/?ref_=sr_t_171,1984,1h 34m,Not Rated,7.6,2.5K,,34834.0,34834.0,4758.0,['Amir Naderi'],"['Behrouz Gharibpour', 'Amir Naderi']","['Madjid Niroumand', 'Behrouz Maghsoudlou', 'Mohsen Shah Mohammadi']",['Drama'],['Iran'],"['Bandar Abbas, Iran']","['Kanun parvaresh fekri', 'Studio of the Voice and Portrait of the Islamic Revolution of Iran']",['Persian'],0,0,0,1984.0
